PROVINCIA	DENOMINACION GENÉRICA	LOCALIDAD	CÓDIGO	DENOMINACION ESPECÍFICA	DOMICILIO	CODPOSTAL	TELÉFONO	FAX	EMAIL
Huesca	Aula de Educación de Adultos	Almudévar	22006022	DE ALMUDÉVAR	Cl. Las Ciencias, S/N	22270	974 25 09 03		
Huesca	Centro de Profesores y Recursos	Huesca	22700029	DE HUESCA	CL. SANCHO RAMÍREZ, 24	22001	974 22 73 61	974 24 50 13	cprhuesca@educa.aragon.es
Huesca	Centro Privado Autorizado de Enseñanzas Deportivas	Alquézar	22010384	ESCUELA DE MONTAÑA DE ALQUÉZAR	CL. SAN GREGORIO, 30	22145			
Huesca	Centro Privado Autorizado de Enseñanzas Deportivas	Benasque	22010165	ESCUELA DE MONTAÑA DE BENASQUE	Cl. Campalet, S/N	22440	974 55 20 19	974 55 21 45	infoemb@fam.es
Huesca	Centro Privado Autorizado de Enseñanzas Deportivas	Candanchú	22010098	ESCUELA ESPAÑOLA DE ESQUÍ	Ctra. De Francia, S/N	22889	974 37 31 94	974 37 34 90	
Huesca	Centro Privado Autorizado de Enseñanzas Deportivas	Huesca	22010840	CENTRO DE FORMACIÓN EDUCATIVA FUNDACIÓN ALCORAZ	Camino del alto Cocorón, s/n Estadio El Alcoraz, puerta 3	22004			
Huesca	Centro Privado de Educación Especial	Huesca	22010001	SAN JORGE	Ctra. De Granén, S/N	22196	974 22 79 62	974 22 55 13	aspacehuesca@telefonica.net
Huesca	Centro Privado de Educación Infantil	Barbastro	22010256	ENCANTARIA	CL. RAMÓN Y CAJAL, 1	22300	974 31 33 50		
Huesca	Centro Privado de Educación Infantil	Fraga	22006061	PATI	Avda. Mequinenza, S/N	22520	974 47 35 68		ceipatufraga@gmail.com
Huesca	Centro Privado de Educación Infantil	Fraga	22010864	COTONET	Cl. Valle de Tena, 14	22520			
Huesca	Centro Privado de Educación Infantil	Huesca	22002405	SAN JOSÉ	Cl. Pedro Iv, 81	22002	974 22 07 74		ceisanjose_h@hotmail.com
Huesca	Centro Privado de Educación Infantil	Huesca	22002429	NTRA.SRA.DEL PILAR	Avda. Dr. Artero, 66	22004	974 24 18 61	974 24 18 61	
Huesca	Centro Privado de Educación Infantil	Huesca	22010050	LAS OCAS	Cl. Miguel Servet, 9	22002	974 24 65 50		
Huesca	Centro Privado de Educación Infantil	Huesca	22010074	CLUB MINNIE	Cl. Travesía Ballesteros, 23	22001	974 24 64 90		
Huesca	Centro Privado de Educación Infantil	Huesca	22010189	PARCHÍS	Cl. Ramón J. Sender, 13	22001	974 21 14 12		
Huesca	Centro Privado de Educación Infantil	Huesca	22010219	PASITO A PASO	CL. DOCTOR ARTERO, 17	22004	974 24 48 48		
Huesca	Centro Privado de Educación Infantil	Huesca	22010220	ZIMBEL	CL. TERUEL, 5	22005	974 24 49 90		
Huesca	Centro Privado de Educación Infantil	Huesca	22010396	KID'S GARDEN HUESCA	CL. CALATAYUD, 31 BAJOS	22005			
Huesca	Centro Privado de Educación Infantil	Huesca	22010441	ALBADA	CL. MARÍA MOLINER S/N	22004			
Huesca	Centro Privado de Educación Infantil Primaria y Secundaria	Barbastro	22000767	SAN VICENTE DE PAÚL	Cami. Real De Zaragoza, S/N	22300	974 31 02 95	974 31 45 31	svpaulbar@planalfa.es
Huesca	Centro Privado de Educación Infantil Primaria y Secundaria	Barbastro	22000779	SAN JOSÉ DE CALASANZ	Pza. Constitución, 2	22300	974 31 43 31	974 31 50 55	sjcalasanzbar@escolapiosemaus.org
Huesca	Centro Privado de Educación Infantil Primaria y Secundaria	Binéfar	22001085	VIRGEN DEL ROMERAL	Cl. Mariano De Pano, 5 Y 7	22500	974 42 80 84	974 43 08 39	virgenromeral@colegiosaragon.org
